_id,address,area,city,name,platform,timing,url
6930b2389c75f684c3f6ee20,,,Karachi,"Hashmanis Hospital - M A Jinnah Road, Karachi",marham,,https://www.marham.pk/hospitals/karachi/hashmanis-hospital-m-a-jinnah-road/jacob-lines
6930b2389c75f684c3f6ee21,,,Karachi,"Qureshi Ent Medical Centre, Karachi",marham,,https://www.marham.pk/hospitals/karachi/qureshi-ent-medical-centre/gulistan-e-jauhar
6930b2389c75f684c3f6ee22,,,Karachi,"Karachi Medical Complex Consultants Clinic, Karachi",marham,,https://www.marham.pk/hospitals/karachi/karachi-medical-complex-consultants-clinic/gulshan-e-iqbal
6930b2389c75f684c3f6ee23,,,Karachi,"Taj Medical Complex Hospital Room 14, Karachi",marham,,https://www.marham.pk/hospitals/karachi/taj-medical-complex-hospital-room-14-karachi/sadar
6930b2389c75f684c3f6ee24,,,Karachi,"Metropolis Health Clinics, Karachi",marham,,https://www.marham.pk/hospitals/karachi/metropolis-health-clinics/clifton
6930b34d9c75f684c3f6ee25,,,Karachi,"Lyfe Healthcare Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/lyfe-healthcare-hospital/adamjee-nagar-society-block-a
6930b34d9c75f684c3f6ee26,,,Karachi,"Mumtaz Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/mumtaz-hospital/north-nazimabad
6930b34d9c75f684c3f6ee27,,,Karachi,"Pak International Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/pak-international-hospital/dha-city-karachi
6930b34d9c75f684c3f6ee28,,,Karachi,"Taj Specialist Clinic, Karachi",marham,,https://www.marham.pk/hospitals/karachi/taj-specialist-clinic/ma-jinnah-road
6930b34d9c75f684c3f6ee29,,,Karachi,"K-Health Care Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/k-health-care-hospital/off-shahrah-e-faisal
6930b3509c75f684c3f6ee2a,,,Karachi,"Naheed Medical Center, Karachi",marham,,https://www.marham.pk/hospitals/karachi/naheed-medical-center/gulshan-e-iqbal
6930b3509c75f684c3f6ee2b,,,Karachi,"Al Fatima Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/al-fatima-hospital/gulshan-e-iqbal
6930b3509c75f684c3f6ee2c,,,Karachi,"Karachi Medicos & Radiology Center, Karachi",marham,,https://www.marham.pk/hospitals/karachi/karachi-medicos-radiology-center/dha-phase-6
6930b3509c75f684c3f6ee2d,,,Karachi,"House of Pebbles, Karachi",marham,,https://www.marham.pk/hospitals/karachi/house-of-pebbles/pechs
6930b3509c75f684c3f6ee2e,,,Karachi,"NK Consultant Clinic, Karachi",marham,,https://www.marham.pk/hospitals/karachi/nk-consultant-clinic/federal-b
6930b3509c75f684c3f6ee2f,,,Karachi,"Transformation Wellness Clinic, Karachi",marham,,https://www.marham.pk/hospitals/karachi/transformation-wellness-clinic/gulshan-e-iqbal
6930b3559c75f684c3f6ee30,,,Karachi,"Memon Medical Institute Hospital Outreach Center, Karachi",marham,,https://www.marham.pk/hospitals/karachi/memon-medical-institute-hospital-outreach-center/federal-b
6930b3559c75f684c3f6ee31,,,Karachi,"Rida Medical Center, Karachi",marham,,https://www.marham.pk/hospitals/karachi/rida-medical-center/gulshan-e-iqbal
6930b3559c75f684c3f6ee32,,,Karachi,"Skintech Solutions, Karachi",marham,,https://www.marham.pk/hospitals/karachi/skintech-solutions/muhammad-ali-society
6930b3559c75f684c3f6ee33,,,Karachi,"The Health Clinic DHA, Karachi",marham,,https://www.marham.pk/hospitals/karachi/the-health-clinic-dha/dha-city-karachi
6930b3559c75f684c3f6ee34,,,Karachi,"Aafiyah Family Health Clinics, Karachi",marham,,https://www.marham.pk/hospitals/karachi/aafiyah-family-health-clinics/clifton
6930b3559c75f684c3f6ee35,,,,"Iqra Labs and Diagnostic Centre, Karachi",marham,,https://www.marham.pk/hospitals/karachi/iqra-labs-and-diagnostic-centre/north-nazimabad
6930b35a9c75f684c3f6ee36,,,,"Rajput Health Care Center, Karachi",marham,,https://www.marham.pk/hospitals/karachi/rajput-health-care-center/dha-phase-1
6930b35a9c75f684c3f6ee37,,,,"The Wellness Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/the-wellness-hospital/dha
6930b35a9c75f684c3f6ee38,,,,"A.M Family Clinic & Pharmacy, Karachi",marham,,https://www.marham.pk/hospitals/karachi/am-family-clinic-pharmacy/block-7-gulistan-e-johar
6930b35a9c75f684c3f6ee39,,,,"Advance Medical Center, Karachi",marham,,https://www.marham.pk/hospitals/karachi/advance-medical-center/dha-phase-6
6930b35a9c75f684c3f6ee3a,,,,"Johar Medical Clinic, Karachi",marham,,https://www.marham.pk/hospitals/karachi/johar-medical-clinic/gulistan-e-johar
6930b35a9c75f684c3f6ee3b,,,,"Lifecare Consultant Clinics & Hospitals, Karachi",marham,,https://www.marham.pk/hospitals/karachi/lifecare-consultant-clinics-hospitals/dha-phase-1
6930b35e9c75f684c3f6ee3c,,,,"M Farooq Clinical Pharmacy, Karachi",marham,,https://www.marham.pk/hospitals/karachi/m-farooq-clinical-pharmacy/dha-phase-ii
6930b35e9c75f684c3f6ee3d,,,,"Hilal-E-Ahmar House Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/hilal-e-ahmar-house-hospital/clifton
6930b35e9c75f684c3f6ee3e,,,,"Imam Clinic, Karachi",marham,,https://www.marham.pk/hospitals/karachi/imam-clinic/north-nazimabad
6930b35e9c75f684c3f6ee3f,,,,"Taj Medical Complex, Karachi",marham,,https://www.marham.pk/hospitals/karachi/taj-medical-complex/saddar
